measurement_timestamp,autopower14,autopower13,autopower_total
2024-09-16 13:30:00+00:00,15.751066323613493,32.383297701763766,48.13436402537726
2024-09-16 14:00:00+00:00,15.93290322580645,,
2024-09-16 14:30:00+00:00,,,
2024-09-16 15:00:00+00:00,,,
2024-09-16 15:30:00+00:00,,,
2024-09-16 16:00:00+00:00,,,
2024-09-16 16:30:00+00:00,,,
2024-09-16 17:00:00+00:00,,,
2024-09-16 17:30:00+00:00,,,
2024-09-16 18:00:00+00:00,,,
2024-09-16 18:30:00+00:00,,,
2024-09-16 19:00:00+00:00,,,
2024-09-16 19:30:00+00:00,,,
2024-09-16 20:00:00+00:00,,,
2024-09-16 20:30:00+00:00,,,
2024-09-16 21:00:00+00:00,,,
2024-09-16 21:30:00+00:00,,,
2024-09-16 22:00:00+00:00,,,
2024-09-16 22:30:00+00:00,,,
2024-09-16 23:00:00+00:00,,,
2024-09-16 23:30:00+00:00,,,
2024-09-17 00:00:00+00:00,,,
2024-09-17 00:30:00+00:00,,,
2024-09-17 01:00:00+00:00,,,
2024-09-17 01:30:00+00:00,,,
2024-09-17 02:00:00+00:00,,,
2024-09-17 02:30:00+00:00,,,
2024-09-17 03:00:00+00:00,,,
2024-09-17 03:30:00+00:00,,,
2024-09-17 04:00:00+00:00,,,
2024-09-17 04:30:00+00:00,,,
2024-09-17 05:00:00+00:00,,,
2024-09-17 05:30:00+00:00,,,
2024-09-17 06:00:00+00:00,,,
2024-09-17 06:30:00+00:00,,,
2024-09-17 07:00:00+00:00,,,
2024-09-17 07:30:00+00:00,,,
2024-09-17 08:00:00+00:00,,,
2024-09-17 08:30:00+00:00,,,
2024-09-17 09:00:00+00:00,,,
2024-09-17 09:30:00+00:00,,,
2024-09-17 10:00:00+00:00,,,
2024-09-17 10:30:00+00:00,,,
2024-09-17 11:00:00+00:00,,,
2024-09-17 11:30:00+00:00,,,
2024-09-17 12:00:00+00:00,,,
2024-09-17 12:30:00+00:00,,,
2024-09-17 13:00:00+00:00,,,
2024-09-17 13:30:00+00:00,,,
2024-09-17 14:00:00+00:00,,,
2024-09-17 14:30:00+00:00,,,
2024-09-17 15:00:00+00:00,,,
2024-09-17 15:30:00+00:00,,,
2024-09-17 16:00:00+00:00,,,
2024-09-17 16:30:00+00:00,,,
2024-09-17 17:00:00+00:00,,,
