measurement_timestamp,autopower12,autopower11,autopower_total
2024-09-16 14:00:00+00:00,122.91600286532952,,
2024-09-16 14:30:00+00:00,206.839012345679,,
2024-09-16 15:00:00+00:00,,,
2024-09-16 15:30:00+00:00,,,
2024-09-16 16:00:00+00:00,,,
2024-09-16 16:30:00+00:00,,,
2024-09-16 17:00:00+00:00,,,
2024-09-16 17:30:00+00:00,,,
2024-09-16 18:00:00+00:00,,,
2024-09-16 18:30:00+00:00,,,
2024-09-16 19:00:00+00:00,,,
2024-09-16 19:30:00+00:00,,,
2024-09-16 20:00:00+00:00,,,
2024-09-16 20:30:00+00:00,,,
2024-09-16 21:00:00+00:00,,,
2024-09-16 21:30:00+00:00,,,
2024-09-16 22:00:00+00:00,,,
2024-09-16 22:30:00+00:00,,,
2024-09-16 23:00:00+00:00,,,
2024-09-16 23:30:00+00:00,,,
2024-09-17 00:00:00+00:00,,,
2024-09-17 00:30:00+00:00,,,
2024-09-17 01:00:00+00:00,,,
2024-09-17 01:30:00+00:00,,,
2024-09-17 02:00:00+00:00,,,
2024-09-17 02:30:00+00:00,,,
2024-09-17 03:00:00+00:00,,,
2024-09-17 03:30:00+00:00,,,
2024-09-17 04:00:00+00:00,,,
2024-09-17 04:30:00+00:00,,,
2024-09-17 05:00:00+00:00,,,
2024-09-17 05:30:00+00:00,,,
2024-09-17 06:00:00+00:00,,,
2024-09-17 06:30:00+00:00,,,
2024-09-17 07:00:00+00:00,,,
2024-09-17 07:30:00+00:00,,,
2024-09-17 08:00:00+00:00,,,
2024-09-17 08:30:00+00:00,,,
2024-09-17 09:00:00+00:00,,,
2024-09-17 09:30:00+00:00,,,
2024-09-17 10:00:00+00:00,,,
2024-09-17 10:30:00+00:00,,,
2024-09-17 11:00:00+00:00,,,
2024-09-17 11:30:00+00:00,,,
2024-09-17 12:00:00+00:00,,,
2024-09-17 12:30:00+00:00,,,
2024-09-17 13:00:00+00:00,,,
2024-09-17 13:30:00+00:00,,,
2024-09-17 14:00:00+00:00,,,
2024-09-17 14:30:00+00:00,,,
2024-09-17 15:00:00+00:00,,,
2024-09-17 15:30:00+00:00,,,
2024-09-17 16:00:00+00:00,,,
2024-09-17 16:30:00+00:00,,,
2024-09-17 17:00:00+00:00,,,
2024-09-17 17:30:00+00:00,,,
2024-09-17 18:00:00+00:00,,,
2024-09-17 18:30:00+00:00,,,
2024-09-17 19:00:00+00:00,,,
2024-09-17 19:30:00+00:00,,,
2024-09-17 20:00:00+00:00,,,
2024-09-17 20:30:00+00:00,,,
2024-09-17 21:00:00+00:00,,,
2024-09-17 21:30:00+00:00,,,
2024-09-17 22:00:00+00:00,,,
2024-09-17 22:30:00+00:00,,,
2024-09-17 23:00:00+00:00,,,
2024-09-17 23:30:00+00:00,,,
2024-09-18 00:00:00+00:00,,,
2024-09-18 00:30:00+00:00,,,
2024-09-18 01:00:00+00:00,,,
2024-09-18 01:30:00+00:00,,,
2024-09-18 02:00:00+00:00,,,
2024-09-18 02:30:00+00:00,,,
2024-09-18 03:00:00+00:00,,,
2024-09-18 03:30:00+00:00,,,
2024-09-18 04:00:00+00:00,,,
2024-09-18 04:30:00+00:00,,,
2024-09-18 05:00:00+00:00,,,
2024-09-18 05:30:00+00:00,,,
2024-09-18 06:00:00+00:00,,,
2024-09-18 06:30:00+00:00,,,
2024-09-18 07:00:00+00:00,,,
2024-09-18 07:30:00+00:00,,,
2024-09-18 08:00:00+00:00,,,
2024-09-18 08:30:00+00:00,,,
2024-09-18 09:00:00+00:00,,,
2024-09-18 09:30:00+00:00,,,
2024-09-18 10:00:00+00:00,,,
2024-09-18 10:30:00+00:00,,,
2024-09-18 11:00:00+00:00,,,
2024-09-18 11:30:00+00:00,,,
2024-09-18 12:00:00+00:00,,,
2024-09-18 12:30:00+00:00,,,
2024-09-18 13:00:00+00:00,,,
2024-09-18 13:30:00+00:00,,,
2024-09-18 14:00:00+00:00,,,
2024-09-18 14:30:00+00:00,,,
2024-09-18 15:00:00+00:00,,,
2024-09-18 15:30:00+00:00,,,
2024-09-18 16:00:00+00:00,,,
2024-09-18 16:30:00+00:00,,,
2024-09-18 17:00:00+00:00,,,
2024-09-18 17:30:00+00:00,,,
2024-09-18 18:00:00+00:00,,,
2024-09-18 18:30:00+00:00,,,
2024-09-18 19:00:00+00:00,,,
2024-09-18 19:30:00+00:00,,,
2024-09-18 20:00:00+00:00,,,
2024-09-18 20:30:00+00:00,,,
2024-09-18 21:00:00+00:00,,,
2024-09-18 21:30:00+00:00,,,
2024-09-18 22:00:00+00:00,,,
2024-09-18 22:30:00+00:00,,,
2024-09-18 23:00:00+00:00,,,
2024-09-18 23:30:00+00:00,,,
2024-09-19 00:00:00+00:00,,,
2024-09-19 00:30:00+00:00,,,
2024-09-19 01:00:00+00:00,,,
2024-09-19 01:30:00+00:00,,,
2024-09-19 02:00:00+00:00,,,
2024-09-19 02:30:00+00:00,,,
2024-09-19 03:00:00+00:00,,,
2024-09-19 03:30:00+00:00,,,
2024-09-19 04:00:00+00:00,,,
2024-09-19 04:30:00+00:00,,,
2024-09-19 05:00:00+00:00,,,
2024-09-19 05:30:00+00:00,,,
2024-09-19 06:00:00+00:00,,,
2024-09-19 06:30:00+00:00,,,
2024-09-19 07:00:00+00:00,,,
2024-09-19 07:30:00+00:00,,,
2024-09-19 08:00:00+00:00,,,
2024-09-19 08:30:00+00:00,206.47501920614596,160.25842405618963,366.7334432623356
2024-09-19 09:00:00+00:00,206.05686023895527,160.2284611111111,366.2853213500664
2024-09-19 09:30:00+00:00,205.7733398166157,159.93799388719088,365.7113337038066
2024-09-19 10:00:00+00:00,205.73491944444444,159.79255626562934,365.52747571007376
2024-09-19 10:30:00+00:00,205.75957766046125,159.89795,365.65752766046126
2024-09-19 11:00:00+00:00,205.7246012781328,159.90714087246457,365.63174215059735
2024-09-19 11:30:00+00:00,205.73041122534036,159.95995276465686,365.6903639899972
2024-09-19 12:00:00+00:00,205.90707777777777,160.00394831897748,365.9110260967552
2024-09-19 12:30:00+00:00,205.75109752709088,159.90285833333334,365.6539558604242
2024-09-19 13:00:00+00:00,205.87254792998056,160.01273409280356,365.8852820227841
2024-09-19 13:30:00+00:00,205.77669722222223,159.8866296193387,365.6633268415609
2024-09-19 14:00:00+00:00,205.8000083356488,159.82655277777778,365.6265611134266
2024-09-19 14:30:00+00:00,205.74571269797167,159.67062795220895,365.4163406501806
2024-09-19 15:00:00+00:00,205.44877465962767,159.6345290358433,365.08330369547093
2024-09-19 15:30:00+00:00,205.50236944444447,159.53871908863573,365.0410885330802
2024-09-19 16:00:00+00:00,205.31533203667684,159.3729972222222,364.68832925889905
2024-09-19 16:30:00+00:00,205.38608502361765,159.28632397888302,364.6724090025007
2024-09-19 17:00:00+00:00,205.35188888888888,159.35361767157542,364.7055065604643
2024-09-19 17:30:00+00:00,205.1587663239789,159.3876861111111,364.54645243509003
2024-09-19 18:00:00+00:00,205.23976660183382,159.2270075020839,364.4667741039177
2024-09-19 18:30:00+00:00,205.21837454848568,159.37574326201724,364.5941178105029
2024-09-19 19:00:00+00:00,205.37422222222222,159.41988888888886,364.7941111111111
2024-09-19 19:30:00+00:00,205.21002778549598,159.38272297860516,364.59275076410114
2024-09-19 20:00:00+00:00,205.38243956654625,159.44268130036122,364.82512086690747
2024-09-19 20:30:00+00:00,205.2341583333333,159.28161433731592,364.5157726706492
2024-09-19 21:00:00+00:00,205.23363156432342,159.21731111111112,364.45094267543453
2024-09-19 21:30:00+00:00,205.25128646846346,159.25869130313976,364.5099777716032
2024-09-19 22:00:00+00:00,205.25092803556544,159.17695470964156,364.427882745207
2024-09-19 22:30:00+00:00,205.1928888888889,159.28159166666669,364.4744805555556
2024-09-19 23:00:00+00:00,205.16659071964435,159.2800972492359,364.44668796888027
2024-09-19 23:30:00+00:00,205.08034454015004,159.23427618782998,364.31462072798
2024-09-20 00:00:00+00:00,205.08939722222223,159.11235898860795,364.2017562108302
2024-09-20 00:30:00+00:00,205.18218671853293,159.09611944444447,364.2783061629774
2024-09-20 01:00:00+00:00,205.23292303417617,159.23602111697696,364.4689441511531
2024-09-20 01:30:00+00:00,205.0712197832731,159.13235343150876,364.20357321478184
2024-09-20 02:00:00+00:00,205.11475833333333,159.17580277777776,364.29056111111106
2024-09-20 02:30:00+00:00,205.22245901639343,159.14178938594054,364.36424840233394
2024-09-20 03:00:00+00:00,205.1430675187552,159.24680466796332,364.38987218671855
2024-09-20 03:30:00+00:00,205.16476666666665,159.27824166666667,364.4430083333333
2024-09-20 04:00:00+00:00,205.19971936649068,159.38407613225894,364.5837954987496
2024-09-20 04:30:00+00:00,205.12329535982215,159.1673075854404,364.29060294526255
2024-09-20 05:00:00+00:00,205.30404834676298,159.37523756599057,364.6792859127536
2024-09-20 05:30:00+00:00,205.41402222222223,159.31498611111112,364.72900833333335
2024-09-20 06:00:00+00:00,205.76713531536538,159.72447346485134,365.4916087802167
2024-09-20 06:30:00+00:00,205.72714087246456,159.66607390941928,365.39321478188384
2024-09-20 07:00:00+00:00,205.78300833333333,159.72357777777776,365.5065861111111
2024-09-20 07:30:00+00:00,205.66801611558768,159.8957710475132,365.56378716310087
2024-09-20 08:00:00+00:00,205.86394276187832,159.95526257293693,365.81920533481525
