Device, Power
sgd1, 2.00
blu2, 2.80
sge2, 3.00
snf1, 1.00
zgl1, 2.00
sts1, 3.00
gov2, 2.00
ix1, 1.00
ge2, 11.80
bf1, 26.00
vi1, 4.50
bu1, 4.10
metas2, 2.60
snm2, 2.00
bz1, 19.00
go2, 3.00
lab540-28z4c, 4.50
yv2, 3.00
vi2, 10.50
hfh2, 1.50
lo2, 4.50
sgc1, 0.00
be1, 23.00
del2, 2.80
npa1, 2.00
ff1, 11.50
ff2, 13.00
sg2, 0.00
sgd3, 10.50
gbl2, 2.50
ne2, 8.00
el3, 22.50
imd2, 4.00
lab55a1, 13.00
ez3, 10.60
kas1, 2.00
thu2, 2.50
gr1, 3.00
hug2, 2.00
ixg3, 9.00
ag1, 9.50
bkl1, 0.00
zbu1, 2.60
gbl1, 2.00
my2, 3.00
ho1, 0.00
fr1, 12.50
blu1, 3.30
wsl2, 2.50
ce2, 33.00
gec1, 0.00
jfj2, 1.00
bul1, 2.30
ne1, 5.00
cr2, 2.50
maa1, 2.60
npb1, 2.30
ge3, 20.60
ba3, 25.50
ps2, 12.50
ra2, 2.50
car1, 4.00
zh2, 27.50
maa2, 1.30
kl2, 2.50
zgl2, 2.00
lab920, 4.00
snm1, 2.00
eic2, 3.00
ls3, 2.60
ez31, 0.00
ensi2, 2.50
due1, 4.00
bs1, 17.50
lab9001, 2.00
kas2, 2.00
ol2, 3.10
gsb1, 2.30
chu2, 3.00
ix3, 18.00
gno1, 2.80
bul2, 2.50
ukb2, 2.50
fhsg1, 1.50
del1, 3.80
ez11, 16.60
gsa1, 2.50
sge1, 3.00
metas1, 2.50
lz2, 0.00
si2, 11.80
snf2, 2.00
sa2, 6.00
ez-sw2, 0.00
ensi1, 4.00
ehc1, 0.00
hfh1, 0.00
ibm2, 2.00
lab8201, 14.50
eb1, 3.00
caw2, 3.00
zar1, 2.00
gov1, 2.00
sgd2, 2.30
mdlp1, 2.50
hepvd1, 2.00
zh3, 36.50
kl1, 8.00
ez1, 17.00
ps1, 23.00
lg2, 55.00
mc2, 3.00
ez2, 71.50
thu1, 2.50
itis2, 1.50
li1, 2.50
cr1, 2.50
li2, 2.50
sp1, 4.50
sgd4, 10.80
bis1, 1.00
ehl2, 4.00
ehbzo1, 2.30
gno2, 2.80
bi1, 12.00
lgd1, 10.50
ehblg2, 2.00
sp2, 3.50
gl2, 2.50
lg4, 25.50
gl1, 2.00
avp1, 2.50
hepvd2, 2.00
chu1, 3.00
br2, 2.00
ez-sw4, 0.00
ehbzo2, 2.50
lab7280, 0.00
ce1, 39.00
ra1, 2.60
naz2, 1.00
lab540, 1.00
ukb1, 4.00
to1, 11.80
lgd2, 9.50
bu2, 0.00
due2, 4.00
si1, 9.50
ez-ggc1, 2.60
ibm1, 2.50
lg1, 15.50
kr2, 8.00
zbe1, 2.60
ma1, 4.30
avp2, 2.50
ilo1, 0.00
wsl1, 2.00
br1, 2.50
gla1, 4.00
ls1, 19.50
car2, 2.00
hug1, 2.00
slf1, 0.00
slf2, 0.00
mdlp2, 2.50
fr2, 9.00
