node_1,interface_1,node_2,interface_2,link_capacity_bps,igp_weight
swiag1,TenGigE0/0/1/0,swilz2,TenGigabitEthernet1/4,5e+09,1200
swiag1,TenGigE0/0/1/1,swira2,TenGigabitEthernet0/0/27,5e+09,20000
swiag1,TenGigE0/0/2/0,swiez11,TenGigE0/0/0/13,5e+09,2400
swiag1,TenGigE0/0/2/1,swibz1,TenGigE0/0/0/16,5e+09,20000
swiag1,TenGigE0/0/2/2,swiho1,TenGigabitEthernet1/5,5e+09,1400
swiag1,TenGigE0/0/2/3,swisa2,TenGigE0/0/2/0,5e+09,2400
swiavp1,TenGigabitEthernet0/0/26,swiehl2,TenGigabitEthernet0/0/27,5e+09,60000
swiavp1,TenGigabitEthernet0/0/27,swiavp2,TenGigabitEthernet0/0/26,5e+09,20000
swiavp2,TenGigabitEthernet0/0/27,swils1,TenGigE0/0/0/19,5e+09,20000
swiba3,HundredGigE0/0/0/8,swiez3,HundredGigE0/1/0/0,1e+11,600
swiba3,HundredGigE0/0/0/9,swiez3,HundredGigE0/2/0/1,1e+11,600
swiba3,HundredGigE0/0/0/0,swibf1,HundredGigE0/0/0/0,1e+11,600
swiba3,HundredGigE0/0/0/10,swibf1,HundredGigE0/0/0/10,1e+11,600
swiba3,HundredGigE0/0/0/1,swibs1,HundredGigE0/0/0/0,1e+11,100
swiba3,HundredGigE0/0/0/11,swibs1,HundredGigE0/0/0/2,1e+11,100
swiba3,TenGigE0/0/0/21,swidel1,TenGigE0/0/2/3,5e+09,4000
swiba3,TenGigE0/0/0/22/0,swibis1,TenGigabitEthernet0/0/12,5e+09,20000
swibe1,TenGigE0/0/0/12,swifr1,TenGigE0/0/0/17,5e+09,4000
swibe1,TenGigE0/0/0/15,swieb1,TenGigabitEthernet0/0/25,5e+09,20000
swibe1,TenGigE0/0/0/16,swisp1,TenGigE0/0/2/0,5e+09,3750
swibe1,TenGigE0/0/0/17,swisnf2,TenGigabitEthernet0/0/25,5e+09,20000
swibe1,TenGigE0/0/0/18,swimetas2,TenGigabitEthernet0/0/25,5e+09,20000
swibe1,TenGigE0/0/0/19,swithu1,TenGigabitEthernet0/0/26,5e+09,20000
swibe1,TenGigE0/0/0/21,swiehbzo2,TenGigabitEthernet0/0/25,5e+09,20000
swibe1,HundredGigE0/0/1/2,swibf1,HundredGigE0/0/0/1,5e+10,100
swibe1,HundredGigE0/0/1/4,swilg1,HundredGigE0/0/0/3,5e+10,1300
swibe1,HundredGigE0/0/1/5,swifr2,HundredGigE0/0/1/3,5e+10,200
swibf1,HundredGigE0/0/0/3,swice1,HundredGigE0/0/0/3,1e+11,1190
swibf1,HundredGigE0/0/0/4,swice1,HundredGigE0/0/0/5,1e+11,1190
swibf1,GigabitEthernet0/0/0/22.10,swisnf1,BDI10,5e+08,50000
swibf1,TenGigE0/0/0/16,swifr1,TenGigE0/0/0/16,5e+09,4200
swibf1,TenGigE0/0/0/17,swine2,TenGigE0/0/2/0,5e+09,2350
swibf1,TenGigE0/0/0/18,swimetas1,TenGigabitEthernet0/0/3,5e+09,20000
swibf1,TenGigE0/0/0/19,swieb1,TenGigabitEthernet0/0/26,5e+09,20000
swibf1,TenGigE0/0/0/23/3,swiehbzo1,TenGigabitEthernet0/0/25,5e+09,20000
swibi1,TenGigE0/0/0/18,swine2,TenGigE0/0/2/3,5e+09,1000
swibi1,TenGigE0/0/0/19,swiensi1,TenGigE0/0/2/0,5e+09,5000
swibi1,TenGigE0/0/0/22,swigr1,TenGigE0/0/0/29,5e+09,20000
swibi1,HundredGigE0/0/1/1,swils1,HundredGigE0/0/0/2,5e+10,800
swibi1,HundredGigE0/0/1/3,swizh3,HundredGigE0/0/0/1,5e+10,1200
swiblu1,TenGigE0/0/0/24,swigl1,TenGigabitEthernet0/0/26,1e+10,40000
swiblu1,TenGigE0/0/0/26,swiblu2,TenGigE0/0/0/26,1e+10,20000
swiblu1,TenGigE0/0/0/27,swisi2,TenGigE0/0/0/2,1e+10,20000
swiblu2,TenGigE0/0/0/27,swivi2,TenGigE0/0/1/0,1e+10,20000
swibr1,TenGigabitEthernet0/0/24,swibr2,TenGigabitEthernet0/0/25,1e+10,15000
swibr1,TenGigabitEthernet0/0/25,swisi2,TenGigE0/0/0/45,1e+10,30000
swibr2,TenGigabitEthernet0/0/24,swivi2,TenGigE0/0/1/1,1e+10,15000
swibs1,HundredGigE0/0/0/1,swips1,HundredGigE0/0/1/2,1e+11,300
swibs1,HundredGigE0/0/0/3,swips1,HundredGigE0/0/1/3,1e+11,300
swibs1,TenGigE0/0/0/21,swists1,TenGigabitEthernet0/0/25,5e+09,30000
swibu1,TenGigabitEthernet0/0/25,swili1,TenGigabitEthernet0/0/27,5e+09,1000
swibu1,TenGigabitEthernet0/0/26,swisa2,TenGigE0/0/1/0,5e+09,30000
swibu1,TenGigabitEthernet0/0/27,swibu2,TenGigabitEthernet3/2,5e+09,30000
swibu2,TenGigabitEthernet1/4,swisg2,TenGigabitEthernet3/3,5e+09,1100
swibu2,TenGigabitEthernet1/5,swisa2,TenGigE0/0/2/3,5e+09,200
swibul1,TenGigE0/0/2/0,swils1,TenGigE0/0/0/21/1,1e+10,2000
swibul1,TenGigE0/0/2/1,swibul2,TenGigE0/0/2/1,1e+10,500
swibul2,TenGigE0/0/2/0,swifr1,TenGigE0/0/0/15,1e+10,4000
swibz1,HundredGigE0/0/1/4,swilg4,HundredGigE0/0/0/18,1e+11,400
swibz1,HundredGigE0/0/1/5,swilg4,HundredGigE0/0/0/19,1e+11,400
swibz1,HundredGigE0/0/1/1,swiez3,HundredGigE0/1/0/5,1e+11,1000
swibz1,HundredGigE0/0/1/3,swiez3,HundredGigE0/2/0/3,1e+11,1000
swibz1,GigabitEthernet0/0/0/8,swilo2,GigabitEthernet0/0/0/8,5e+08,30000
swibz1,TenGigE0/0/0/21,swigsa1,TenGigE0/0/0/25,5e+09,20000
swicar1,TenGigabitEthernet0/0/3,swicar2,TenGigabitEthernet0/0/27,5e+09,20000
swicar1,TenGigabitEthernet0/0/4,swiez11,TenGigE0/0/0/7,5e+09,20000
swicar1,TenGigabitEthernet0/0/5,swiez3,TenGigE0/0/0/2,5e+09,20000
swicar2,TenGigabitEthernet0/0/25,swizh3,TenGigE0/0/0/22/0,5e+09,20000
swicaw2,TenGigabitEthernet0/0/26,swilo2,TenGigE0/0/2/2,5e+09,20000
swicaw2,TenGigabitEthernet0/0/27,swimc2,TenGigE0/0/0/25,5e+09,20000
swice1,TenGigE0/0/0/26,swimdlp2,TenGigabitEthernet0/0/25,1e+10,30000
swice1,TenGigE0/0/0/29,swils3,TenGigabitEthernet0/0/24,1e+10,30000
swice1,FourHundredGigE0/0/0/0,swice2,FourHundredGigE0/0/0/1,4e+11,50
swice1,HundredGigE0/0/0/1,swils1,HundredGigE0/0/0/1,1e+11,600
swice1,FourHundredGigE0/0/0/2,swiez2,FourHundredGigE0/0/0/0,4e+11,2339
swice2,FourHundredGigE0/0/0/0,swilg2,FourHundredGigE0/0/0/0,4e+11,2399
swice2,HundredGigE0/0/0/10,swige3,HundredGigE0/0/1/0,1e+11,200
swice2,HundredGigE0/0/0/19,swige2,HundredGigE0/0/1/0,1e+11,500
swichu1,TenGigabitEthernet0/0/25,swiel3,TenGigE0/0/0/18,1e+10,20000
swichu1,TenGigabitEthernet0/0/27,swiimd2,TenGigabitEthernet0/0/3,1e+10,60000
swichu2,TenGigabitEthernet0/0/26,swils1,TenGigE0/0/0/18,5e+09,20000
swichu2,TenGigabitEthernet0/0/27,swiimd2,TenGigabitEthernet0/0/4,5e+09,65000
swicr1,TenGigabitEthernet0/0/26,swicr2,TenGigabitEthernet0/0/27,5e+09,200
swicr1,TenGigabitEthernet0/0/27,swili2,TenGigabitEthernet0/0/27,5e+09,2000
swicr2,TenGigabitEthernet0/0/26,swislf1,TenGigabitEthernet2/3,5e+09,30000
swidel1,GigabitEthernet0/0/0/1,swine1,GigabitEthernet0/0/0/3,5e+08,20000
swidel1,TenGigE0/0/2/1,swidel2,TenGigE0/0/2/3,5e+09,50
swidel2,TenGigE0/0/2/1,swine1,TenGigE0/0/2/2,5e+09,8000
swidue1,TenGigE0/0/2/1,swiez3,TenGigE0/0/0/1,1e+10,1000
swidue1,TenGigE0/0/2/2,swiez3,TenGigE0/0/0/5,1e+10,1000
swidue1,TenGigE0/0/1/2,swidue2,TenGigE0/0/1/2,1e+10,500
swidue1,TenGigE0/0/2/3,swidue2,TenGigE0/0/2/3,1e+10,500
swidue2,TenGigE0/0/2/1,swikl1,TenGigE0/0/1/1,1e+10,1500
swidue2,TenGigE0/0/2/2,swikl1,TenGigE0/0/2/2,1e+10,1500
swiehblg2,TenGigabitEthernet0/0/25,swilg2,TenGigE0/0/0/31/1,5e+09,20000
swiehblg2,TenGigabitEthernet0/0/27,swima1,TenGigE0/0/2/1,5e+09,30000
swiehbzo1,TenGigabitEthernet0/0/27,swiehbzo2,TenGigabitEthernet0/0/27,5e+09,500
swiehl2,GigabitEthernet0/0/13,swigla1,GigabitEthernet0/0/13,5e+08,20000
swiehl2,TenGigabitEthernet0/0/26,swiel3,TenGigE0/0/0/20,5e+09,20000
swieic2,TenGigabitEthernet0/0/26,swige3,TenGigE0/0/0/18,5e+09,20000
swieic2,TenGigabitEthernet0/0/27,swiel3,TenGigE0/0/0/15,5e+09,20000
swiel3,TenGigE0/0/0/14,swinyr2,TenGigE0/0/0/25,5e+09,20000
swiel3,TenGigE0/0/0/16,swimy2,TenGigE0/0/2/0,5e+09,1200
swiel3,TenGigE0/0/0/17,swigla1,TenGigabitEthernet0/0/27,5e+09,20000
swiel3,TenGigE0/0/0/19,swigl2,TenGigabitEthernet0/0/26,5e+09,20000
swiel3,HundredGigE0/0/0/0,swils1,HundredGigE0/0/0/0,5e+10,100
swiel3,HundredGigE0/0/0/2,swige3,HundredGigE0/0/1/1,5e+10,500
swiel3,HundredGigE0/0/0/3,swisi1,HundredGigE0/0/1/1,5e+10,700
swiensi1,TenGigE0/0/2/1,swiensi2,TenGigE0/0/2/1,5e+09,250
swiensi1,TenGigE0/0/2/3,swizh3,TenGigE0/0/0/18,5e+09,5000
swiensi2,TenGigE0/0/2/0,swilgd1,TenGigE0/0/0/0,5e+09,4750
swiez-ggc1,TenGigE0/0/0/30,swiez3,TenGigE0/0/1/2,1e+10,50000
swiez-ggc1,TenGigE0/0/0/31,swiez3,TenGigE0/0/1/3,1e+10,50000
swiez1,TenGigabitEthernet3/3,swiez3,TenGigE0/0/0/3,1e+10,250
swiez1,TenGigabitEthernet3/4,swiez3,TenGigE0/0/0/4,1e+10,250
swiez1,TenGigabitEthernet3/6,swiez3,TenGigE0/0/1/1,1e+10,250
swiez1,TenGigabitEthernet3/7,swiez3,TenGigE0/1/0/3/6,1e+10,250
swiez1,TenGigabitEthernet2/5,swiez11,TenGigE0/0/0/47,2e+09,10000
swiez11,TenGigE0/0/0/1,swiukb1,TenGigabitEthernet0/0/4,2e+09,20000
swiez11,TenGigE0/0/0/3,swiwsl2,TenGigabitEthernet0/0/25,2e+09,20000
swiez11,TenGigE0/0/0/5,swiitis2,TenGigabitEthernet0/0/26,2e+09,20000
swiez11,TenGigE0/0/0/9,swinaz2,TenGigE0/0/2/1,2e+09,5000
swiez11,TenGigE0/0/0/11,swizbe1,TenGigE0/0/0/25,2e+09,20000
swiez11,TenGigE0/0/0/15,swilz2,TenGigabitEthernet3/3,2e+09,60000
swiez11,HundredGigE0/0/1/1,swiez2,HundredGigE0/0/0/29,2e+10,100
swiez2,HundredGigE0/0/0/8,swiez3,HundredGigE0/1/0/1,1e+11,75
swiez2,HundredGigE0/0/0/9,swiez3,HundredGigE0/2/0/0,1e+11,75
swiez2,HundredGigE0/0/0/12,swiix3,HundredGigE0/0/0/1,1e+11,100
swiez2,HundredGigE0/0/0/14,swiix3,HundredGigE0/0/0/3,1e+11,100
swiez2,FourHundredGigE0/0/0/1,swilg2,FourHundredGigE0/0/0/1,2e+11,1250
swiez2,FourHundredGigE0/0/0/2,swilab8201,FourHundredGigE0/0/0/9,2e+11,100
swiez2,FourHundredGigE0/0/0/10,swizh2,FourHundredGigE0/0/0/14,2e+11,100
swiez2,HundredGigE0/0/0/15,swisgd4,HundredGigE0/0/1/1,5e+10,500
swiez3,TenGigE0/0/0/6,swiukb1,TenGigabitEthernet0/0/5,5e+09,20000
swiez3,TenGigE0/1/0/3/7,swisnm2,TenGigabitEthernet0/0/25,5e+09,20000
swiez3,TenGigE0/1/0/3/9,swilab9001,TenGigE0/0/1/3,5e+09,5000
swiff1,TenGigE0/0/0/11,swikl1,TenGigE0/0/2/1,1e+10,2500
